iter	Passed	Remaining
477	624	681
478	625	679
479	625	678
480	626	676
481	627	674
482	628	672
483	629	671
484	630	669
485	631	667
486	632	665
487	633	664
488	633	662
489	634	660
490	635	659
491	636	657
492	637	655
493	638	654
494	639	652
495	640	650
496	642	649
497	642	648
498	643	646
499	644	644
500	645	643
501	646	641
502	647	639
503	648	638
504	649	636
505	650	634
506	651	633
507	652	631
508	653	629
509	653	628
510	654	626
511	655	625
512	656	623
513	658	622
514	659	621
515	660	619
516	661	618
517	662	616
518	663	615
519	665	613
520	666	612
521	666	610
522	668	609
523	669	608
524	671	607
525	673	606
526	674	605
527	676	604
528	677	603
529	678	601
530	679	600
531	680	598
532	681	597
533	682	595
534	684	594
535	685	593
536	686	591
537	687	590
538	688	588
539	689	586
540	690	585
541	691	584
542	692	582
543	693	581
544	694	579
545	695	578
546	696	576
547	698	575
548	699	574
549	700	572
550	701	571
551	702	570
552	703	568
553	704	567
554	705	565
555	706	564
556	707	562
557	708	561
558	709	559
559	710	558
560	711	556
561	712	555
562	713	553
563	714	552
564	715	550
565	716	549
566	717	547
567	718	546
568	719	544
569	720	543
570	721	542
571	722	540
572	723	539
573	724	537
574	725	536
575	726	534
576	727	533
577	728	532
578	729	530
579	730	529
580	731	527
581	732	526
582	733	524
583	734	523
584	735	521
585	736	520
586	737	519
587	738	517
588	739	516
589	740	514
590	741	513
591	742	511
592	743	510
593	744	509
594	745	507
595	746	506
596	748	504
597	748	503
598	749	502
599	750	500
600	751	499
601	752	497
602	753	496
603	754	494
604	755	493
605	756	492
606	757	490
607	758	489
608	759	487
609	760	486
610	761	484
611	762	483
612	763	482
613	764	480
614	765	479
615	766	477
616	767	476
617	768	474
618	769	473
619	770	471
620	770	470
621	771	469
622	772	467
623	773	466
624	774	464
625	775	463
626	776	461
627	777	460
628	778	458
629	779	457
630	780	456
631	780	454
632	781	453
633	782	451
634	783	450
635	784	449
636	785	447
637	786	446
638	787	444
639	788	443
640	789	442
641	790	440
642	791	439
643	791	437
644	792	436
645	793	434
646	794	433
647	795	432
648	796	430
649	797	429
650	798	428
651	799	426
652	800	425
653	801	424
654	802	422
655	803	421
656	804	419
657	804	418
658	805	416
659	806	415
660	807	414
661	808	412
662	809	411
663	810	410
664	811	408
665	812	407
666	813	405
667	813	404
668	814	403
669	815	401
670	816	400
671	817	399
672	818	397
673	819	396
674	820	395
675	821	393
676	822	392
677	823	390
678	824	389
679	825	388
680	826	386
681	826	385
682	827	384
683	828	382
684	829	381
685	830	380
686	831	378
687	832	377
688	833	376
689	834	374
690	835	373
691	836	372
692	837	370
693	838	369
694	839	368
695	840	366
696	841	365
697	842	364
698	843	363
699	844	361
700	844	360
701	845	359
702	846	357
703	847	356
704	849	355
705	849	353
706	850	352
707	851	351
708	852	350
709	853	348
710	854	347
711	855	346
712	856	344
713	857	343
714	858	342
715	859	340
716	860	339
717	861	338
718	861	336
719	862	335
720	863	334
721	864	332
722	865	331
723	866	330
724	867	328
725	868	327
726	868	326
727	869	324
728	870	323
729	871	322
730	872	321
731	873	319
732	874	318
733	875	317
734	875	315
735	876	314
736	877	313
737	878	311
738	879	310
739	880	309
740	881	307
741	881	306
742	882	305
743	883	304
744	884	302
745	885	301
746	886	300
747	887	298
748	887	297
749	888	296
750	889	295
751	890	293
752	891	292
753	892	291
754	893	289
755	894	288
756	894	287
757	895	286
758	896	284
759	897	283
760	898	282
761	899	281
762	900	279
763	901	278
764	902	277
765	903	275
766	904	274
767	905	273
768	906	272
769	906	270
770	907	269
771	908	268
772	909	267
773	910	265
774	911	264
775	912	263
776	913	262
777	914	261
778	915	259
779	916	258
780	917	257
781	918	256
782	919	254
783	920	253
784	921	252
785	921	251
786	922	249
787	923	248
788	924	247
789	925	246
790	926	244
791	927	243
792	928	242
793	929	241
794	930	239
795	931	238
796	932	237
797	933	236
798	934	235
799	935	233
800	936	232
801	937	231
802	938	230
803	939	228
804	940	227
805	941	226
806	942	225
807	943	224
808	944	222
809	945	221
810	946	220
811	947	219
812	948	218
813	948	216
814	949	215
815	950	214
816	951	213
817	952	211
818	953	210
819	954	209
820	955	208
821	956	207
822	957	205
823	958	204
824	959	203
825	960	202
826	961	201
827	962	199
828	963	198
829	964	197
830	965	196
831	966	195
832	967	193
833	968	192
834	969	191
835	970	190
836	971	189
837	972	187
838	973	186
839	974	185
840	974	184
841	975	183
842	976	181
843	977	180
844	978	179
845	979	178
846	980	177
847	981	175
848	982	174
849	983	173
850	984	172
851	985	171
852	986	170
853	987	168
854	988	167
855	989	166
856	990	165
857	991	164
858	992	162
859	993	161
860	994	160
861	995	159
862	996	158
863	997	156
864	998	155
865	999	154
866	1000	153
867	1001	152
868	1002	151
869	1003	149
870	1004	148
871	1004	147
872	1005	146
873	1006	145
874	1007	143
875	1008	142
876	1009	141
877	1010	140
878	1011	139
879	1012	138
880	1013	136
881	1014	135
882	1015	134
883	1016	133
884	1016	132
885	1017	130
886	1018	129
887	1019	128
888	1020	127
889	1021	126
890	1022	125
891	1023	123
892	1024	122
893	1025	121
894	1026	120
895	1027	119
896	1028	118
897	1030	117
898	1031	115
899	1032	114
900	1033	113
901	1034	112
902	1036	111
903	1037	110
904	1038	109
905	1039	107
906	1040	106
907	1042	105
908	1043	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1049	97
915	1050	96
916	1052	95
917	1052	94
918	1054	92
919	1055	91
920	1056	90
921	1057	89
922	1058	88
923	1059	87
924	1060	86
925	1061	84
926	1062	83
927	1064	82
928	1065	81
929	1066	80
930	1067	79
931	1069	77
932	1070	76
933	1071	75
934	1072	74
935	1073	73
936	1074	72
937	1075	71
938	1076	69
939	1077	68
940	1078	67
941	1079	66
942	1080	65
943	1082	64
944	1083	63
945	1084	61
946	1085	60
947	1086	59
948	1087	58
949	1089	57
950	1090	56
951	1091	55
952	1092	53
953	1093	52
954	1094	51
955	1095	50
956	1097	49
957	1098	48
958	1099	47
959	1100	45
960	1101	44
961	1102	43
962	1104	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1109	36
968	1111	35
969	1112	34
970	1113	33
971	1114	32
972	1115	30
973	1117	29
974	1118	28
975	1119	27
976	1120	26
977	1121	25
978	1123	24
979	1124	22
980	1125	21
981	1126	20
982	1127	19
983	1128	18
984	1130	17
985	1131	16
986	1132	14
987	1133	13
988	1134	12
989	1135	11
990	1136	10
991	1137	9
992	1139	8
993	1140	6
994	1141	5
995	1142	4
996	1143	3
997	1144	2
998	1145	1
999	1146	0
